id_venda;data;id_produto;id_empregado;quantidade;valor_unitario;valor_total
1;16/03/2023;70;18;2;279.58;559.16
2;10/02/2023;166;34;5;816.9;4084.5
3;02/05/2023;76;87;1;411.2;411.2
4;27/01/2023;57;31;5;20.89;104.45
5;08/04/2023;12;53;6;734.86;4409.16
6;25/05/2023;154;85;7;577.56;4042.92
6;25/05/2023;154;85;7;577.56;4042.92
7;10/05/2023;54;65;10;427.82;4278.2
8;25/04/2023;26;29;3;99.43;298.29
9;11/01/2023;164;59;5;838.71;4193.55
10;;54;98;7;614.3;4300.1
11;30/05/2023;69;56;7;667.03;4669.21
12;28/05/2023;81;62;1;277.21;277.21
13;03/06/2023;194;73;2;;
14;09/05/2023;61;43;9;358.02;3222.18
15;08/02/2023;35;3;8;440.48;3523.84
16;21/06/2023;179;94;2;801.42;1602.84
17;19/01/2023;101;44;6;594.33;3565.98
18;15/03/2023;57;55;1;145.45;145.45
19;03/03/2023;80;88;1;193.28;193.28
20;;149;81;3;734.9;2204.7
21;25/01/2023;89;12;7;726.86;5088.02
22;26/01/2023;47;32;10;61.08;610.8
23;25/05/2023;151;26;10;592.38;5923.8
24;15/05/2023;14;79;5;478.48;2392.4
25;25/04/2023;176;72;5;733.71;3668.55
26;28/02/2023;82;95;2;;
27;26/05/2023;187;17;4;846.1;3384.4
28;14/02/2023;98;3;8;237.71;1901.68
29;18/04/2023;39;15;5;534.96;2674.8
30;;93;86;8;544.1;4352.8
31;10/06/2023;16;42;9;740.48;6664.32
32;19/06/2023;34;30;2;34.16;68.32
33;18/01/2023;160;96;7;193.62;1355.34
34;15/02/2023;29;62;3;79.33;237.99
35;16/01/2023;184;10;1;407.91;407.91
36;25/03/2023;133;65;9;343.01;3087.09
37;22/05/2023;120;30;1;119.37;119.37
38;06/02/2023;153;48;2;303.35;606.7
39;14/03/2023;143;49;1;;
40;;140;59;9;682.85;6145.65
41;20/06/2023;124;70;10;800.01;8000.1
42;15/02/2023;88;11;7;880.33;6162.31
43;21/02/2023;4;59;2;175.36;350.72
44;04/03/2023;54;74;8;943.3;7546.4
45;18/06/2023;3;6;2;390.25;780.5
46;16/02/2023;177;9;5;67.26;336.3
47;02/03/2023;123;35;3;601.3;1803.9
48;25/05/2023;3;32;2;496.27;992.54
49;30/04/2023;125;89;3;232.2;696.6
50;;101;98;9;895.97;8063.73
51;03/05/2023;29;9;9;397.26;3575.34
52;02/06/2023;76;42;3;;
53;25/01/2023;5;11;9;335.76;3021.84
54;07/02/2023;72;5;2;414.37;828.74
55;06/02/2023;60;48;10;537.28;5372.8
56;24/04/2023;40;45;5;991.56;4957.8
57;25/02/2023;40;98;3;826.43;2479.29
58;02/02/2023;6;88;8;570.07;4560.56
59;02/04/2023;97;59;3;869.48;2608.44
60;;45;89;9;340.67;3066.03
61;04/06/2023;166;60;5;683.34;3416.7
62;14/02/2023;58;31;7;882.82;6179.74
63;09/06/2023;107;53;7;15.09;105.63
64;10/04/2023;2;78;7;169.15;1184.05
65;13/01/2023;46;27;7;;
66;14/04/2023;98;60;1;564.25;564.25
67;11/03/2023;158;71;8;820.49;6563.92
68;04/03/2023;156;60;10;437.92;4379.2
69;28/05/2023;96;100;5;111.48;557.4
